state_abr,opioid_factor,year
va,2.94519E7,2007
vi,1000.0,2007
ca,9.19072286E7,2007
al,366300.0,2007
ar,3000.0,2007
vt,1991180.0,2007
il,2682950.0,2007
ga,1016750.0,2007
in,3244433.55,2007
ia,2500.0,2007
az,241875.0,2007
id,180000.0,2007
ct,62750.0,2007
pr,4935965.0,2007
nj,2712903.55,2007
tx,1874500.0,2007
la,28750.0,2007
nc,167250.0,2007
tn,6500.0,2007
ny,7.45835123E7,2007
pa,2.268757775E7,2007
nv,4.6390065E7,2007
nh,166250.0,2007
wa,38000.0,2007
de,8527225.0,2007
dc,610250.0,2007
wi,301475.0,2007
wv,3757500.0,2007
ma,7493065.0,2007
fl,9765985.0,2007
me,3211325.0,2007
md,6.1848002099999994E7,2007
ok,1500.0,2007
oh,3543368.55,2007
ut,5000.0,2007
mo,12250.0,2007
mn,13000.0,2007
mi,798500.0,2007
ms,34500.0,2007
ky,50750.0,2007
or,132035.0,2007
va,3.52467092E7,2008
vi,25000.0,2008
ca,1.4966449665E8,2008
al,178475.0,2008
vt,2486458.55,2008
il,2906400.0,2008
ga,671225.0,2008
in,1332975.0,2008
az,397500.0,2008
ct,124500.0,2008
pr,2763065.0,2008
nj,4.83610842E7,2008
tx,173000.0,2008
nc,17500.0,2008
tn,5000.0,2008
ny,7.8866521E7,2008
pa,6.790100275E7,2008
nv,1.335432475E7,2008
nh,328500.0,2008
de,2.0738035E7,2008
dc,1009700.0,2008
wi,341500.0,2008
wv,4690383.55,2008
ma,2088674.2,2008
fl,162500.0,2008
me,4762065.0,2008
md,7.572419064999999E7,2008
ok,3750.0,2008
oh,2465800.0,2008
mo,7725.0,2008
mn,10000.0,2008
ms,48000.0,2008
sc,3750.0,2008
va,4.00844605E7,2009
co,7500.0,2009
ca,1.457282938E8,2009
al,338000.0,2009
vt,3228250.0,2009
il,2725675.0,2009
ga,622450.0,2009
in,711225.0,2009
az,258780.0,2009
ct,146250.0,2009
pr,39000.0,2009
nj,291000.0,2009
tx,105000.0,2009
nc,88000.0,2009
tn,23750.0,2009
ny,9.00180133E7,2009
pa,2.75744813E7,2009
nv,1.19634E7,2009
nh,178500.0,2009
de,1.66462E7,2009
dc,1086750.0,2009
wi,506950.0,2009
wv,5712750.0,2009
ma,2982250.0,2009
fl,13400.0,2009
me,4681750.0,2009
md,7.55645334E7,2009
ok,47500.0,2009
oh,3378525.0,2009
mo,1280000.0,2009
mn,41750.0,2009
ms,30000.0,2009
sc,5000.0,2009
va,4.6751042099999994E7,2010
ca,9.905130539999999E7,2010
al,762725.0,2010
vt,3361000.0,2010
il,3986825.0,2010
ga,1098375.0,2010
in,444200.0,2010
az,62295.0,2010
ct,1013500.0,2010
pr,750.0,2010
tx,150000.0,2010
nc,183500.0,2010
tn,102000.0,2010
ny,9.450418485000001E7,2010
pa,2.5792885E7,2010
nv,3896500.0,2010
nh,106750.0,2010
de,2.245025E7,2010
dc,3208250.0,2010
wi,615000.0,2010
wv,3486150.0,2010
ma,1198750.0,2010
fl,2000.0,2010
me,481500.0,2010
md,8.3321835E7,2010
ok,6650.0,2010
oh,3501200.0,2010
mi,1000.0,2010
ms,7000.0,2010
ky,50750.0,2010
va,5.9264681400000006E7,2011
ca,8.45084105E7,2011
al,914250.0,2011
vt,6726250.0,2011
il,4713950.0,2011
ga,1393025.0,2011
in,393500.0,2011
az,100000.0,2011
id,15000.0,2011
ct,1575000.0,2011
pr,6000.0,2011
nj,4650.0,2011
tx,124000.0,2011
nc,190000.0,2011
tn,5000.0,2011
ny,1.156775497E8,2011
pa,3.63912892E7,2011
nv,333750.0,2011
nh,707000.0,2011
de,1.286195855E7,2011
dc,1858500.0,2011
wi,825225.0,2011
wv,2.85145E7,2011
ma,1352700.0,2011
fl,64750.0,2011
me,2191750.0,2011
md,7.321221245E7,2011
ok,22725.0,2011
oh,2846850.0,2011
mo,2500.0,2011
mn,17500.0,2011
ms,208250.0,2011
sc,3750.0,2011
ky,18000.0,2011
va,1.78601592E7,2012
ca,1.2967114385E8,2012
al,1240175.0,2012
vt,1529500.0,2012
il,2652275.0,2012
ga,1250700.0,2012
in,252750.0,2012
ia,22500.0,2012
az,940000.0,2012
id,20000.0,2012
ct,3020500.0,2012
pr,9000.0,2012
nm,9000.0,2012
tx,283500.0,2012
la,12500.0,2012
nc,207565.0,2012
ne,16000.0,2012
tn,3750.0,2012
ny,8.99130221E7,2012
pa,2.32223542E7,2012
nv,845483.55,2012
nh,202250.0,2012
wa,3750.0,2012
de,295250.0,2012
dc,204250.0,2012
wi,881500.0,2012
wv,334250.0,2012
ma,604500.0,2012
fl,43250.0,2012
me,1115750.0,2012
md,1.546835855E7,2012
ok,93750.0,2012
oh,3370725.0,2012
mo,2500.0,2012
mn,20500.0,2012
mi,29000.0,2012
ms,60000.0,2012
ky,167225.0,2012
